Which country ? ,Which education institution ? ,Year ? ,What is the course title ? ,What are the course prerequisites ? ,What is the course description ?,What is the course  content/topics?,What are the course outcomes/objectives?,Hardware or Software tools used in the course ? ,Textbook/references used in the course ? ,Teaching method ? ,What are assessment methods ? 
United States,University of Texas at Dallas,2018-01-01,Artificial Intelligence,Data Structures and Introduction to Algorithmic Analysis,"CS 4365 - Artificial Intelligence (3 semester credit hours) Basic concepts and techniques that enable
computers to perform intelligent tasks. Examples are taken from areas such as natural language
understanding, computer vision, machine learning, search strategies and control, logic, and theorem
proving. Prerequisite: CE 3345 or CS 3345 or SE 3345 or TE 3345 or equivalent. (3-0) Y",not mentioned,"1. Understand and use uninformed and heuristic search techniques
2. Understand and use local search algorithms.
3. Understand and use constraint satisfaction problems.
4. Understand and use logical inference using the resolution algorithm.
5. Understand and use probabilistic inference in Bayesian networks
6. Understand and use planning
7. Understand and use games with perfect information (adversarial search)
8. Understand and use zero-sum games with hidden information
9. Understand and use non-zero-sum games with hidden information","lisp
python
prolog
weka
UC Berkeley-pacman project","Artificial Intelligence, A Modern Approach. 3ed. Stuart Russell and Peter Norvig. Prentice Hall,
2010. ISBN-13: 860-1419506989 ISBN-10: 0136042597. http://aima.cs.berkeley.edu/
(This is our primary Textbook)

Knowledge Representation, Reasoning, and the Design of Intelligent Agents. Michael Gelfond;
Yulia Kahl. © 2014 Cambridge University Press. Print ISBN: 978-1-107-02956-9
(Available online free access via UTD Library => ebook => Safari)

Bayesian Reasoning and Machine Learning by David Barber. © 2012 Cambridge
University Press.
(Available online free access via UTD Library => ebook => Safari).

Logic, Programming and Prolog, 2ed. by Ulf Nilsson and Jan Maluszynski. ©2000 by Nilsson
and Maluszynski. Download from http://www.ida.liu.se/~ulfni53/lpp/
(Available online)

Logic for Computer Science and Artificial Intelligence. Ricardo Caferra. © 2011 John Wiley &
Sons. ISBN: 978-1-848-21301-2.
(Available online free access via UTD ebook safari)

Introducing Python. Bill Lubanovic. © 2014 O'Reilly Media, Inc. ISBN-13: 978-1-4493-5936-2
(Available online & free via UTD Library => ebook => Safari)


Paradigms of Artificial Intelligence Programming. Peter Norvig
© 2014 Morgan Kaufmann. Web ISBN-13: 978-0-08-057115-7
Print ISBN-13: 978-1-55860-191-8.
(Available online free access via UTD ebook safari)",Lecture based learning,Short Quizes;Assignments;Final Exam
India,Marathwada Mitramandal's Institute of Technology,,Artificial Intelligence & Machine Learning,"Linear Algebra, Probability, Statistics, Logical Reasoning.",not mentioned,"History of AI, Comparison of AI with Data Science, Need of AI in Mechanical Engineering,
Introduction to Machine Learning. Basics: Reasoning, problem solving, Knowledge representation,
Planning, Learning, Perception, Motion and manipulation.
Approaches to AI: Cybernetics and brain simulation, Symbolic, Sub-symbolic, Statistical.
Approaches to ML: Supervised learning, Unsupervised learning, Reinforcement learning. 

Feature extraction: Statistical features, Principal Component Analysis.
Feature selection: Ranking, Decision tree - Entropy reduction and information gain, Exhaustive,
best first, Greedy forward & backward, Applications of feature extraction and selection algorithms
in Mechanical Engineering.

Classification: Decision tree, Random forest, Naive Bayes, Support vector machine.
Regression: Logistic Regression, Support Vector Regression. Regression trees: Decision tree,
random forest, K-Means, K-Nearest Neighbor (KNN). Applications of classification and regression
algorithms in Mechanical Engineering.

Problem identification: classification, clustering, regression, ranking. Steps in ML modeling, Data
Collection, Data pre-processing, Model Selection, Model training (Training, Testing, K-fold Cross
Validation), Model evaluation (understanding and interpretation of confusion matrix, Accuracy,
Precision, Recall, True positive, false positive etc.), Hyper parameter Tuning, Predictions.

Characteristics of reinforced learning; Algorithms: Value Based, Policy Based, Model Based;
Positive vs Negative Reinforced Learning; Models: Markov Decision Process, Q Learning.
Characteristics of Deep Learning, Artificial Neural Network, Convolution Neural Network.
Application of Reinforced and Deep Learning in Mechanical Engineering.

Human Machine Interaction, Predictive Maintenance and Health Management, Fault Detection,
Dynamic System Order Reduction, Image based part classification, Process Optimization, Material
Inspection, Tuning of control algorithms.

","ACQUAINT with fundamentals of artificial intelligence and machine learning.
2. LEARN feature extraction and selection techniques for processing data set.
3. UNDERSTAND basic algorithms used in classification and regression problems.
4. OUTLINE steps involved in development of machine learning model.
5. FAMILIARIZE with concepts of reinforced and deep learning.
6. IMPLEMENT AND ANALYZE machine learning model in mechanical engineering
problems.

CO1. DEMONSTRATE fundamentals of artificial intelligence and machine learning.
CO2. APPLY feature extraction and selection techniques.
CO3. APPLY machine learning algorithms for classification and regression problems.
CO4. DEVISE AND DEVELOP a machine learning model using various steps.
CO5. EXPLAIN concepts of reinforced and deep learning.
CO6. SIMULATE machine learning model in mechanical engineering problems.",,"1. Deisenroth, Faisal, Ong, Mathematics for Machine Learning, Cambridge University Press,
2020.

2. B Joshi, Machine Learning and Artificial Intelligence, Springer, 2020.

3. Parag Kulkarni and Prachi Joshi, “Artificial Intelligence – Building Intelligent Systems”,
PHI learning Pvt. Ltd., ISBN – 978-81-203-5046-5, 2015

4. Stuart Russell and Peter Norvig (1995), “Artificial Intelligence: A Modern Approach,” Third
edition, Pearson, 2003.

1. Solanki, Kumar, Nayyar, Emerging Trends and Applications of Machine Learning, IGI
Global, 2018.

2. Mohri, Rostamizdeh, Talwalkar, Foundations of Machine Learning, MIT Press, 2018.


3. Kumar, Zindani, Davim, Artificial Intelligence in Mechanical and Industrial Engineering,
CRC Press, 2021.


4. Zsolt Nagy - Artificial Intelligence and Machine Learning Fundamentals-Apress (2018)


5. Artificial Intelligence by Elaine Rich, Kevin Knight and Nair, TMH",Lecture based learning;LAB demos,Short Quizes;Final Exam;Presentation
India,Marathwada Mitramandal’s Institute of Technology,2020-01-01,Introduction to Artificial Intelligence,"This course is primarily aimed at students with knowledge of fundamental programming and
problem solving skills along with technical backgrounds in the domain of computer science.
Students are expected to have taken the courses of programming basics, algorithms, data
structures and computer architecture and organization.","The availability of increased access to data, computational power, and improved sensors
and algorithms has given artificial intelligence (AI) technologies as the mainstream of
technological innovation. These technologies include search, machine learning, natural
language processing, robotics and image processing.
The course begins by describing what the latest generation of artificial intelligence
techniques can actually do. After an introduction of some basic concepts and techniques, the
course illustrates both the potential and current limitations of these techniques with examples
from a variety of applications. A few lectures will be spent on understanding the strengths and
weaknesses of human decision-making and learning, specifically in combination with AI
systems. Exercises will include hands-on application of basic AI techniques as well as selection
of appropriate technologies for a given problem and anticipation of design implications. The
final project will require a group of students to produce an AI based application of their choice.","Introduction to artificial intelligence
○ Course structure and policies
○ History of AI
○ Proposing and evaluating AI applications
○ Setup of infrastructure for development in preferred programming language


Demo code and module development for getting to know the development
platform
○ Case studies

Topics
○ Problem spaces and search
○ Knowledge and rationality
○ Heuristic search strategies
○ Search and optimization (gradient descent)
○ Adversarial search
○ Planning and scheduling

Logic and inference
○ Ontologies
○ Bayesian reasoning
○ Temporal reasoning
○ Case study: Medical diagnosis

What is machine learning?
○ Supervised vs. unsupervised learning
○ Regression -- linear, logistic, ridge
○ Classification – decision trees, SVM, random forests
○ Model performance evaluation – MSE, lift, AUC, Type 1 vs 2 errors
○ Case study: Bank failure prediction

Dimensionality reduction: PCA
○ Clustering – k-means, hierarchical clustering
○ Semi-supervised methods
○ Reinforcement learning
○ Choosing among machine learning techniques
○ Case study: Public health outcome clustering

Neural networks and back-propagation
○ Convolutional neural networks
○ Recurrent neural networks and LSTMs

Introduction to computer vision
○ Image segmentation
○ Object and motion detection
○ Object classification
○ Use of pre-trained models (VGG16, Inception)

Intro to natural language understanding
○ Sentiment analysis
○ Application of deep learning to NLP

","Identification of problems where artificial intelligence techniques can be applied
● Application of basic AI techniques and learning of advanced AI techniques
● Conception and design of systems that act intelligently and learn from
experience.",,"Russell, S. & Norvig, P Artificial Intelligence: A Modern Approach, Prentice-Hall.

Goodfellow, I., Bengio, Y. and Courville, A., Deep Learning, MIT Press.

",Lecture based learning,Assignments;Final Exam;Project
United States,San José State University,2023-01-01,Introduction to Artificial Intelligence,"Computer Science, Software Engineering, or Data Science, Data Structures and Algorithms","Basic concepts and techniques of artificial intelligence: problem solving, search, deduction, intelligent agents, knowledge
representation. Topics chosen from logic programming, game playing, planning, machine learning, natural language, neural nets,
robotics.","Intelligent Agents
Python Essentials, Problem Solving and Search

Uninformed Search, Informed Search (greedy, A*)

Heuristics, Local Search

Constraint Satisfaction Problems
Adversarial Search
Logical Agents
Automated Planning
Uncertainty, Bayes Nets
Machine Learning, Naive Bayes

Perceptron, Neural Nets, Nearest Neighbor
Unsupervised Learning
Applications, The Ethics of AI
",,"python
pycharm","Artificial Intelligence: A Modern Approach
Author: Stuart Russell and Peter Norvig
Publisher: Pearson
Edition: 4th
ISBN: 978-0134610993
Optional",Lecture based learning,Assignments;Final Exam;Project
Jordan,Philadelphia University in Jordan,2008-01-01,Fundamentals of Artificial Intelligence,,The module is the primary introduction to artificial intelligence. Halve of the module material is delivered in-class and the other halve is distant learning using the e-learning module designed at faculty of IT in Philadelphia University.,"Introduction to AI
• Intelligent agents
• Problem Solving (search algorithms)
• Knowledge representation
• Expert System

Introduction to AI (what is AI?
foundations of AI).
Intelligent agents (what is an agent?
structure of agents).
Intelligent agents (types of agents,
environments).
Problem Solving (search algorithms,
understand the search problems and their
algorithms)
Problem Solving (introduce search
algorithms, uninformed search
algorithms).
Problem Solving (iterative deepening
search, informed search algorithms).
Problem Solving (best-first search, A*
search algorithm).
Problem Solving (admissibility and
dominance, simulated annealing search).
Knowledge representation (Introduction,
history of knowledge representation,
semantic networks).
Knowledge representation (frames, scripts,
conceptual graphs, and conceptual
dependency).
Knowledge representation (production
rules, logic knowledge representation,
propositional logic).
Knowledge representation (first-order
logic, inference rules in first-order logic,
Prolog and Lisp).
Expert System (Introduction, components
of an expert system).
Expert System (compare between human
thinking and computer thinking, rules
based systems).
Expert System (programs required to
develop an expert system, types of expert
systems).

Expert System (compare between human
thinking and computer thinking, rules
based systems).
Expert System (programs required to
develop an expert system, types of expert
systems).

Expert System (examples of well known
expert systems, strategies in expert systems,
develop an expert system).



","The module aims to present the basic representation and reasoning paradigms used in AI in both
theory and practice with careful attention to the underlying principles of logic, search, and
probability. It is also designed to show students practical examples of the use of AI in applications
and to encourage further reading. The e-learning part enables students to practice self learning. The
Assignments aim to give students a sound practical introduction to knowledge based systems and a
basic introduction to modern paradigms of knowledge representation and belief networks. The
examples classes aim to provide an introduction to the underlying issues in cognitive emulation and
to provide an opportunity for practical exercises in logic and probability.


Knowledge and understanding
- Have an understanding of space search and search algorithms, logic based knowledge
representation, of issues in reasoning methods.
- Have an understanding of the limitations of current symbolic AI paradigm
- Have knowledge of Bayes' Rule and its use in Belief Networks and be able to solve
problems concerning updating of prior probabilities with evidence using it and to construct
belief networks for simple problems.
•Cognitive skills (thinking and analysis).
- Be able to select appropriate search paradigms for appropriate problems
- Be able to design a simple agent system and associated ontology and justify the design (B)
•Communication skills (personal and academic).
- Be able to design and implement a forward chaining knowledge based system including rule
base
•Practical and subject specific skills (Transferable Skills).
- Be able to study on-line",,"Title: Artificial Intelligence: A Modern Approach
Author(s): S.J. Russell & P. Norvig
Publisher: Prentice Hall, 2nd edition, 2002.

1- G.F. Luger & W.A. Stubblefield, Artificial Intelligence: Structures and Strategies for Complex
Problem Solving, 3rd edition, Addison Wesley, 1998.

2- N. J. Nilsson, Artificial Intelligence: A New Synthesis, Morgan Kaufmann Publishers, 1998.

3- P.H. Winston, Artificial Intelligence, 3rd edition, Addison Wesley, 1992.

4- E. Rich, K. Knight, Artificial Intelligence, 2nd edition, McGraw Hill, 1991.
",Hybrid learning(face-to-face and online ),Short Quizes;Assignments;Final Exam;Report
India,SRM University AP,2022-01-01,Artificial Intelligence and Knowledge Representation,,not mentioned,"Introduction: AI problems, foundation of AI and history of AI intelligent agents: Agents and
Environments, the concept of rationality, the nature of environments, structure of agents, problem
solving agents, problem formulation.

Searching: Searching for solutions, uniformed search strategies – Breadth first search, depth first
Search. Search with partial information (Heuristic search) Greedy best first search, A* search Game
Playing: Adversial search, Games, minimax, algorithm, optimal decisions in multiplayer games,
Alpha-Beta pruning, Evaluation functions, cutting of search.

Knowledge Representation: Using Predicate logic, representing facts in logic, functions and
predicates, Conversion to clause form, Resolution in propositional logic, Resolution in predicate logic,
Unification.
Representing Knowledge Using Rules: Procedural Versus Declarative knowledge, Logic
Programming, Forward versus Backward Reasoning

Learning: What is learning, Rote learning, Learning by Taking Advice, Learning in Problem-solving,
Learning from example: induction, Explanation-based learning.
Connectionist Models: Hopfield Networks, Learning in Neural Networks, Applications of Neural
Networks, Recurrent Networks. Connectionist AI and Symbolic AI.

Expert System: Representing and using Domain Knowledge, Reasoning with knowledge, Expert
System Shells, Support for explanation examples, Knowledge acquisition-examples.",,,"1. Artificial Intelligence – A Modern Approach. Second Edition, Stuart Russel, Peter Norvig,
PHI/ Pearson Education.

2. Artificial Intelligence, Kevin Knight, Elaine Rich, B. Shivashankar Nair, 3rd Edition,2008

3. Artificial Neural Networks B. Yagna Narayana, PHI.

4. Artificial Intelligence, 2nd Edition, E.Rich and K.Knight (TMH).",Other,Other
United States,Boston University,2021-01-01,Artificial Intelligence,"Discrete Mathematics, Data Structures","The course Artificial Intelligence (AI) treats in-depth methods for automated reasoning, automatic problem
solvers and planners, knowledge representation mechanisms, game playing, machine learning, and
statistical pattern recognition. The class is a recommended for students with a genuine curiosity about the
ideas and techniques that enable computers to behave intelligently. Programming skills and a reasonable
writing skills are expected; students will be asked to complete both programming assignments and writing
assignments.","Artificial Intelligence in Context
Intelligent Agents, Heuristic Search
Game Playing.
Logic and Knowledge Representation. Uncertainty.
Machine Learning and Natural Language Processing.


Introduction. Artificial Intelligence – in the
Public Imagination. Philosophy of Mind.
Intelligent Agents. Basic Search
Informed Search. Game Playing.
Constraints Satisfaction– Defining Constraint,
Propagation, Backtracking, Local Search
Logical Agents – Knowledge Based Agents,
First Order Logic – Representation, Syntax &
Semantics, Usage
Inference in First Order Logic – Propositional vs.
Knowledge Representation

Planning. Probabilistic Reasoning
Bayesian Networks
Statistical Learning. Neural Networks
Reinforcement Learning.
Natural Language processing
","Students who have completed this course should be able to apply core concepts in artificial intelligence,
1. heuristic search, game playing,
2. formal logic, knowledge representation,
3. decision theory,
4. machine learning, and natural language processing
in programming assignments
",,"Stuart Russell, Peter Norvig, “Artificial Intelligence: Modern
Approach,” 3rd Ed, Pearson, 2010, ISBN-13: 978-0-13-604259-4.

Thinking, Fast and Slow, Daniel Kahneman, 2011

Deep Learning and the Game of Go, Max Pumperla and Kevin Ferguson, 2019
",Lecture based learning,Assignments;Final Exam;Project;Report
Spain,Higher Polytechnic School,2022-01-01,Artificial Intelligence,"Linear Algebra
Calculus
Calculus
Programming
Programming Project
Combinatorics, graph theory and propositional logic
Discrete structures and logic
Probability and statistics
",not mentioned,"Introduction to Artificial Intelligence
History of AI
Systems and intelligent agents
Problem solving using search
Blind search
Heuristic search
A*
IDA*
Optimization
Design of heuristics
Adverarial search (games)
Constraint satisfaction problems
Predicate logic
Elements
Common elements with propositional logic
Variables and quantifiers
Predicates
Functions
Átoms, Térms, Literals and clauses
Normal forms
Substitution and unification
Inference in predicate logic
Generalized inference rules
Modus ponens
Resolution
Answer extraction using Green’s trick
The equality predicate
Algorithms for inference
Forward chaining
Backward chaining
Logic programming (Prolog)
Ontologies
Planning
Situation Calculus
Planning using STRIPS
Uncertainty in AI
Formalization of uncertainty using probabilities
Cdfs y Pdfs
Joint distribution
Marginal probabilities
Conditional probabilities
Statistical independence
Bayes’ theorem
Bayes networks
Machine learning
Supervised learning: regression
Attributes and target variable
Linear regression by Maximum Likelihood.
Non-linear regresión. Neural networks.
Supervised learning: classification
Neural networks for classification
Nearest neighbors (kNNs)
Decision trees
Unsupervised learning
Introduction to clustering
K-means
Advanced applications
Natural language processing
Artificial vision
Robotics




","AI is an introductory course in Artificial Intelligence. The goal is to acquire
knowledge on intelligent systems and agents, formalization of knowledge, reasoning
with and without uncertainty, machine learning and applications at a basic level.
The basic skill that the student is expected to acquire after the successful
completion of
C15. Knowledge and application of basic principles and techniques of intelligent
systems and their practical applications.
Upon successful completion of the course (general goals) and after each unit (unit
goals) the student will be capable of:

Formalization and design of sytems capable of automated reasoning.
Implementation and application of machine learning techniques in prediction
problems.
Implementation and application of data mining techniques
",,"AI and applications [Units 1,2,3,6,7]
• Russell, S. y Norvig, P.: ""Artificial Intelligence, a modern approach"", Ed.
Prentice Hall, 1995 (inglés y español) [http://aima.cs.berkeley.edu/]

• Nilsson, N.J.: ""Artificial Intelligence, a new synthesis"", Ed. Morgan Kaufmann
Publishers, 1998
Uncertainty in AI and machine learning [Units 4,5]

• C.M. Bishop. Pattern Recognition and Machine Learning. Springer, 2006

• R.O. Duda, P.E. Hart. D.G. Stork; Pattern Classification; Wiley, 2000

• S. Haykin. Neural Networks: A Comprehensive Foundation. Segunda edición.
Prentice-Hall 1999

• T.M. Mitchell. Machine Learning. McGraw-Hill, 1997
Applications and robotics [Unit 7]

• “Springer Handbook of Robotics”, Bruno Siciliano and Oussama Khatib
[http://www.springerlink.com/content/978-3-540-23957-4]",Collaborative or Group-based learning;Lecture based learning,Assignments
United States,University of Pennsylvania,2020-01-01,"AI, data, and society",,"The progression of AI-based technologies promises to transform many aspects of business, labor, and even society. The goal of this course is to provide students with an understanding of the capabilities of modern AI technologies, with an emphasis on being able to critically assess where they can provide societal value, and where they may create new challenges. The course is not intended to provide a deep-dive into the workings of these technologies in the same way as a computer science course might. Rather, business and policy decision-makers will be confronted with a number of important issues as AI becomes integrated into the social decision-making fabric. This course is intended to provide a framework for people who may have to confront these legal, ethical, and economic challenges. In doing so, an objective is to ensure that students who complete the course are comfortable enough in the inner-workings of these technologies to think critically across many AI contexts as well as different domains ranging from public policy, to criminal justice, to health inspections, HR, and marketing. The 0.5 CU course is oriented around hands-on critical written assessments, labs, exams, and a presentation. Broadly, data rich firms in finance, tech, management, marketing, and other industries are increasingly adopting AI as a tool to accelerate and improve decision-making. It is important for modern managers to understand the opportunities and challenges introduced by data and AI so that they can credibly communicate about these issues with others. We will cover many of these issues, so that you will be able to think about the opportunities and challenges that arise when firms try to use AI to solve business problems. Labs will reinforce your learning of how AI works, and how it is being used to solve business problems. During labs, we will focus on gaining experience with introductory machine learning concepts. Students will spend time inside and outside of the classroom combining data and code to provide a foundation for understanding the deep challenges that this will bring to organizations.","Session 1: Introduction + A brief history of AI
Objective: This session introduces expectations for the course. It covers the
evolution of the AI, including varying viewpoints, from the 1920's to the present.
Includes a discussion of the Turing test, the AI winter, the AI spring and the role of
Moore's law and data in driving the resurgence of AI. Most of the time is spent on
discussion of AGI and AI technological progress over the last five years.

Session 2: How AI Works I (Algorithms)
Objective: Introduction of ML techniques, with comparisons with pattern
recognition and regression. Introduction to the role of training and test data sets
in the ML workflow and how prediction works in the ML context. This session
covers how to think about different popular ML algorithms (logistic regression,
trees, etc.), and when to use each of them. Discussion of when different models
work best, and what the ""requirements"" are for each to be successful. Coverage
of popular platforms used for machine learning Pytorch, Tensorflow, caret +
Azure and AWS tools).

Session 3: How AI Works II (Interpreting output)
Objective: Discussion of how to evaluate AI models and further discussion of the
costs and benefits of different AI models. Explanation of ROC curves, Type I and
type II errors, and confusion matrices. Discussion of how the need for well labeled
output limits which tasks are amenable to machine learning/automation. Will also
cover platforms such as Kaggle, and how ML competitions are ""specified"",
including prediction quality measures.

Session 4: Lab 1 - ML on Azure
Objective: Exercise using Azure ML studio with HR data. Uses a drag and drop
interface to code variables and predict HR outcomes. Assignment underscores
tradeoffs between model accuracy and features. There is also a discussion in the
lab of tradeoffs between data features and privacy. Finally, a brief discussion of
bias, post-hoc fixes, and legal challenges.

Session 5: Bias, fairness, and the law
Objective: Covers bias, fairness, and the law in the application of ML algorithms.
Included discussions of tradeoffs between accuracy and bias. Extensions to
specific applications like medicine and public policy.
Objective: Covers the use of AI for social good (e.g. possible use cases to cover
include counterterrorism, economic empowerment, preventing wildlife poaching).
Likely with a guest speaker from DataKind or similar organization. Includes
discussion of ""citizen"" data science.

Session 7: Regulation: AI, privacy, and market power
Objective: Cover returns to data scale, discussion of tradeoffs with privacy. How
GDPR may affect AI innovation. Discussion of Alibaba, Baidu, and Tencent and the
""dual axes"" of AI power. Current regulation initiatives such as the Michigan Law
prohibiting the use of video for HR decisions.

Session 8: Lab 2, Data and Deep Learning
Objective: Introduces students to neural networks and deep learning. This lab
contrasts the benefits of hand-generating ML features vs. using a deep learning
engine. Evaluates the predictive gains from the latter and discusses the
challenges that deep learning offers for interpretability.

Session 10: The interpretability challenge
Objective: Discusses problems of responsible AI. Explainable AI. What are the
trade offs in organizational adoption? What new technologies are emerging to
deal with the responsible AI problem.

Session 11: AI and labor I: the data driven workforce
Objective:
Discusses how the workforce and organizations are changing to adapt to AI. How
new tools such as AutoML change the skill profile of the workforce in an AI
driven organization. Also discusses what types of managers are needed to
govern AI driven decisions, including the emergence of new governance vehicles,
such as AI councils and Chief Data Officers.

Session 11: AI and labor I: the data driven workforce
Objective:
Discusses how the workforce and organizations are changing to adapt to AI. How
new tools such as AutoML change the skill profile of the workforce in an AI
driven organization. Also discusses what types of managers are needed to
govern AI driven decisions, including the emergence of new governance vehicles,
such as AI councils and Chief Data Officers.

Session 12: AI and labor II: The future of jobs
Objectives: Discussion of the impact of AI on the future or work. Includes job
displacement, robots, universal basic income, and other related topics. Includes a
scenario planning exercise to discuss possible long-term outcomes for the
relationship between AI, capital, and labor. Also discusses emerging AI
technologies and how they might be combined with the blockchain and AR and
other technologies to further affect workforce needs.

","Session 1: Introduction + A brief history of AI
Objective: This session introduces expectations for the course. It covers the
evolution of the AI, including varying viewpoints, from the 1920's to the present.
Includes a discussion of the Turing test, the AI winter, the AI spring and the role of
Moore's law and data in driving the resurgence of AI. Most of the time is spent on
discussion of AGI and AI technological progress over the last five years.

Session 2: How AI Works I (Algorithms)
Objective: Introduction of ML techniques, with comparisons with pattern
recognition and regression. Introduction to the role of training and test data sets
in the ML workflow and how prediction works in the ML context. This session
covers how to think about different popular ML algorithms (logistic regression,
trees, etc.), and when to use each of them. Discussion of when different models
work best, and what the ""requirements"" are for each to be successful. Coverage
of popular platforms used for machine learning Pytorch, Tensorflow, caret +
Azure and AWS tools).

Session 3: How AI Works II (Interpreting output)
Objective: Discussion of how to evaluate AI models and further discussion of the
costs and benefits of different AI models. Explanation of ROC curves, Type I and
type II errors, and confusion matrices. Discussion of how the need for well labeled
output limits which tasks are amenable to machine learning/automation. Will also
cover platforms such as Kaggle, and how ML competitions are ""specified"",
including prediction quality measures.

Session 4: Lab 1 - ML on Azure
Objective: Exercise using Azure ML studio with HR data. Uses a drag and drop
interface to code variables and predict HR outcomes. Assignment underscores
tradeoffs between model accuracy and features. There is also a discussion in the
lab of tradeoffs between data features and privacy. Finally, a brief discussion of
bias, post-hoc fixes, and legal challenges.

Session 5: Bias, fairness, and the law
Objective: Covers bias, fairness, and the law in the application of ML algorithms.
Included discussions of tradeoffs between accuracy and bias. Extensions to
specific applications like medicine and public policy.
Objective: Covers the use of AI for social good (e.g. possible use cases to cover
include counterterrorism, economic empowerment, preventing wildlife poaching).
Likely with a guest speaker from DataKind or similar organization. Includes
discussion of ""citizen"" data science.

Session 7: Regulation: AI, privacy, and market power
Objective: Cover returns to data scale, discussion of tradeoffs with privacy. How
GDPR may affect AI innovation. Discussion of Alibaba, Baidu, and Tencent and the
""dual axes"" of AI power. Current regulation initiatives such as the Michigan Law
prohibiting the use of video for HR decisions.

Session 8: Lab 2, Data and Deep Learning
Objective: Introduces students to neural networks and deep learning. This lab
contrasts the benefits of hand-generating ML features vs. using a deep learning
engine. Evaluates the predictive gains from the latter and discusses the
challenges that deep learning offers for interpretability.

Session 10: The interpretability challenge
Objective: Discusses problems of responsible AI. Explainable AI. What are the
trade offs in organizational adoption? What new technologies are emerging to
deal with the responsible AI problem.

Session 11: AI and labor I: the data driven workforce
Objective:
Discusses how the workforce and organizations are changing to adapt to AI. How
new tools such as AutoML change the skill profile of the workforce in an AI
driven organization. Also discusses what types of managers are needed to
govern AI driven decisions, including the emergence of new governance vehicles,
such as AI councils and Chief Data Officers.

Session 11: AI and labor I: the data driven workforce
Objective:
Discusses how the workforce and organizations are changing to adapt to AI. How
new tools such as AutoML change the skill profile of the workforce in an AI
driven organization. Also discusses what types of managers are needed to
govern AI driven decisions, including the emergence of new governance vehicles,
such as AI councils and Chief Data Officers.

Session 12: AI and labor II: The future of jobs
Objectives: Discussion of the impact of AI on the future or work. Includes job
displacement, robots, universal basic income, and other related topics. Includes a
scenario planning exercise to discuss possible long-term outcomes for the
relationship between AI, capital, and labor. Also discusses emerging AI
technologies and how they might be combined with the blockchain and AR and
other technologies to further affect workforce needs.",MS Azure ML studio,,Lecture based learning;Flipped classroom;LAB demos;Seminar,Assignments;Final Exam;Presentation;Report
India,BHARATHIAR UNIVERSITY,2021-01-01,Artificial Intelligence and Knowledge Representation,,not mentioned,"Introduction – Definition – Future of Artificial Intelligence – Characteristics of Intelligent Agents –
Typical Intelligent Agents – Problem Solving Approach to Typical AI Problems.

Problem Solving Methods – Search Strategies – Uninformed – Informed – Heuristics – Local Search
Algorithms and Optimization Problems – Searching with Partial Observations – Constraint
Satisfaction Problems – Constraint Propagation – Backtracking Search – Game Playing – Optimal
Decisions in Games – Alpha – Beta Pruning – Stochastic Games.
Knowledge Representation – First Order Predicate Logic – Prolog Programming – Unification –
Forward Chaining – Backward – Chaining – Resolution – Knowledge Representation – Ontological
Engineering – Categories and Objects – Events – Mental Events and Mental Objects – Reasoning
Systems for Categories – Reasoning with Default Information.

Software Agents – Architecture for Intelligent Agents – Agent Communication – Negotiation and
Bargaining – Argumentation among Agents – Trust and Reputation in Multi-agent Systems.

AI Applications – Language Models – Information Retrieval – Information Extraction – Natural
Language Processing – Machine Translation – Speech Recognition – Robot – Hardware – Perception
– Planning - Moving.
","To expose the student sot the fundamental concepts of Artificial Intelligence and its
applications.

Demonstrate fundamental understanding of the history of artificial intelligence (AI) K2
and its foundations.
Understanding about the basic concepts of Software agents ad representation of K2
knowledge
Demonstrate awareness and a fundamental understanding of various applications of AI K2
techniques in intelligent agents, expert systems, artificial neural networks and other
machine learning models.
Apply basic principles of AI in solutions that require problem solving, inference, K3
perception, knowledge representation, and learning.

",,"S. Russell and P. Norvig, ―Artificial Intelligence: A Modern Approach‖, Prentice Hall, Third
Edition, 2009.

I. Bratko, - Prolog: Programming for Artificial Intelligence, Fourth Edition, Addison-Wesley
Educational Publishers Inc.,

M. Tim Jones, - Artificial Intelligence: A Systems Approach (Computer Science), Jones and
Bartlett Publishers Inc.; First Edition, 2008.

William F. Clocksin and Christopher S Mellish, Programming in Prolog: Using the ISO
Standard, Fifth Edition, Springer, 2003.

",Lecture based learning,Project
